ticker,map_defined_category
LJAN US,Buffer
LJUL US,Buffer
LOCT US,Buffer
APRH US,Barrier
JANH US,Barrier
OCTH US,Barrier
JULH US,Barrier
APRJ US,Barrier
JANJ US,Barrier
OCTJ US,Barrier
JULJ US,Barrier
XBJL US,Buffer
XTJL US,Accelerator
BAUG US,Buffer
BFEB US,Buffer
BJAN US,Buffer
BJUL US,Buffer
BJUN US,Buffer
BMAR US,Buffer
BMAY US,Buffer
BNOV US,Buffer
BOCT US,Buffer
BSEP US,Buffer
BAPR US,Buffer
BDEC US,Buffer
PAPR US,Buffer
PAUG US,Buffer
PDEC US,Buffer
PFEB US,Buffer
PJAN US,Buffer
PJUL US,Buffer
PJUN US,Buffer
PMAR US,Buffer
PMAY US,Buffer
PNOV US,Buffer
POCT US,Buffer
PSEP US,Buffer
UAPR US,Buffer
UAUG US,Buffer
UDEC US,Buffer
UFEB US,Buffer
UJAN US,Buffer
UJUL US,Buffer
UJUN US,Buffer
UMAR US,Buffer
UMAY US,Buffer
UNOV US,Buffer
USEP US,Buffer
UOCT US,Buffer
KAPR US,Buffer
KJAN US,Buffer
KJUL US,Buffer
KMAY US,Buffer
KOCT US,Buffer
XUSP US,Accelerator
QBF US,Floor
ZALT US,Buffer
EALT US,Buffer
XBJA US,Buffer
XBOC US,Buffer
XDSQ US,Accelerator
XTJA US,Accelerator
XTAP US,Accelerator
XTOC US,Accelerator
RBUF US,Buffer
RFLR US,Floor
KAUG US,Buffer
KDEC US,Buffer
KFEB US,Buffer
KJUN US,Buffer
KMAR US,Buffer
KNOV US,Buffer
KSEP US,Buffer
TEND US,Buffer
TENJ US,Buffer
TENM US,Buffer
STEN US,Buffer
TWOX US,Accelerator
IVVB US,Ladder
DMAX US,Buffer
MAXJ US,Buffer
MMAX US,Buffer
SMAX US,Buffer
IVVM US,Ladder
HELO US,Ladder
HOLA US,Ladder
HEQQ US,Ladder
KPRO US,Buffer
KBUF US,Buffer
KIQQ US,Buffer
TRIO US,Buffer
SPYH US,Hedged Equity
PSCW US,Buffer
PSCX US,Buffer
PSCJ US,Buffer
PSCQ US,Buffer
PSFM US,Buffer
PSFD US,Buffer
PSFJ US,Buffer
PSFO US,Buffer
PSFF US,Buffer
PSMR US,Buffer
PSMD US,Buffer
PSMJ US,Buffer
PSMO US,Buffer
PWS US,Hedged Equity
PBQQ US,Ladder
