ticker,map_li_category,map_li_subcategory,map_li_direction,map_li_leverage_amount,map_li_underlier
NVDL US,Equity,Single Stock,Long,2.0,NVDA US
NVDO US,Equity,Single Stock,Long,2.0,NVDA US
NVDQ US,Equity,Single Stock,Short,2.0,NVDA US
NVDS US,Equity,Single Stock,Short,1.5,NVDA US
NVDU US,Equity,Single Stock,Long,2.0,NVDA US
NVDX US,Equity,Single Stock,Long,2.0,NVDA US
NVOX US,Equity,Single Stock,Long,2.0,NVO US
NVTX US,Equity,Single Stock,Long,2.0,NVTS US
NWMX US,Equity,Single Stock,Long,2.0,NEM US
OKLL US,Equity,Single Stock,Long,2.0,OKLO US
OKLS US,Equity,Single Stock,Short,2.0,OKLO US
OKTG US,Equity,Single Stock,Long,2.0,OKTA US
OKTX US,Equity,Single Stock,Long,2.0,OKTA
ONDG US,Equity,Single Stock,Long,2.0,ONDS US
ONDL US,Equity,Single Stock,Long,2.0,ONDS US
ONDU US,Equity,Single Stock,Long,2.0,ONDS US
OOQB US,Stacked Returns,Miscellaneous,Long,,Basket
OOSB US,Stacked Returns,Miscellaneous,Long,,Basket
OPEG US,Equity,Single Stock,Long,2.0,OPEN US
OPEX US,Equity,Single Stock,Long,2.0,OPEN US
ORCS US,Equity,Single Stock,Short,1.0,ORCL US
ORCU US,Equity,Single Stock,Long,2.0,ORCL US
ORCX US,Equity,Single Stock,Long,2.0,ORCL US
ORLG US,Equity,Single Stock,Long,2.0,ORLY US
ORR US,Equity,Index/Basket/ETF Based,Short,,
OSCG US,Equity,Single Stock,Long,2.0,OSCR US
OSCX US,Equity,Single Stock,Long,2.0,OSCR
PALD US,Equity,Single Stock,Short,1.0,PANW US
PALU US,Equity,Single Stock,Long,2.0,PANW US
PANG US,Equity,Single Stock,Long,2.0,PANW US
PATX US,Equity,Single Stock,Long,2.0,PATH US
PBRG US,Equity,Single Stock,Long,2.0,PBR US
PDDL US,Equity,Single Stock,Long,2.0,PDD US
PILL US,Equity,Index/Basket/ETF Based,Long,3.0,
PLOO US,Equity,Single Stock,Long,2.0,PLTR US
PLTA US,Equity,Single Stock,Long,2.0,PLTR US
PLTD US,Equity,Single Stock,Short,1.0,PLTR US
PLTG US,Equity,Single Stock,Long,2.0,PLTR US
PLTU US,Equity,Single Stock,Long,2.0,PLTR US
PLTZ US,Equity,Single Stock,Short,2.0,PLTR US
PLU US,Equity,Single Stock,Long,2.0,PL US
PLUL US,Equity,Single Stock,Long,2.0,PLUG US
PONX US,Equity,Single Stock,Long,2.0,PONY US
PSQ US,Equity,Index/Basket/ETF Based,Short,1.0,
PST US,Fixed Income,Index/Basket/ETF Based,Short,2.0,
PTIR US,Equity,Single Stock,Long,2.0,PLTR US
PXIU US,Equity,Single Stock,Long,2.0,UPXI US
PYPG US,Equity,Single Stock,Long,2.0,PYPL US
QBTX US,Equity,Single Stock,Long,2.0,QBTS US
QBTZ US,Equity,Single Stock,Short,2.0,QBTS US
QCMD US,Equity,Single Stock,Short,1.0,QCOM US
QCML US,Equity,Single Stock,Long,2.0,QCOM US
QCMU US,Equity,Single Stock,Long,2.0,QCOM US
QID US,Equity,Index/Basket/ETF Based,Short,2.0,
QLD US,Equity,Index/Basket/ETF Based,Long,2.0,
QPUX US,Equity,Index/Basket/ETF Based,Long,2.0,
QQDN US,Equity,Index/Basket/ETF Based,Short,2.0,
QQQD US,Equity,Index/Basket/ETF Based,Short,1.0,
QQQP US,Equity,Index/Basket/ETF Based,Long,2.0,
QQQU US,Equity,Index/Basket/ETF Based,Long,2.0,
QQUP US,Equity,Index/Basket/ETF Based,Long,2.0,
QQXL US,Equity,Index/Basket/ETF Based,Long,2.0,
QSU US,Equity,Single Stock,Long,2.0,QS US
