ticker,fund_name,current_map,expected,status,confidence
IONX US,DEFIANCE DAILY TARGET 2X LONG IONQ ETF,IONQ US,,UNCLEAR,LOW
IONZ US,DEFIANCE DAILY TARGET 2X SHORT IONQ ETF,IONQ US,,UNCLEAR,LOW
IRE US,DEFIANCE DAILY TARGET 2X LONG IREN ETF,IREN US,,UNCLEAR,LOW
IREG US,LEVERAGE SHARES 2X LONG IREN DAILY ETF,IREN US,IREN US,OK,HIGH
IREX US,TRADR 2X LONG IREN DAILY ETF,IREN US,IREN US,OK,HIGH
IREZ US,TRADR 2X SHORT IREN DAILY ETF,IREN,IREN US,OK,HIGH
ISUL US,GRANITESHARES 2X LONG ISRG DAILY ETF,ISRG,ISRG US,OK,HIGH
IWDL US,ETRACS 2X LEVERAGED US VALUE FACTOR TR ETN,RU10VATR,,UNCLEAR,LOW
IWFL US,ETRACS 2X LEVERAGED US GROWTH FACTOR TR ETN,RU10GRTR,,UNCLEAR,LOW
IWML US,ETRACS 2X LEVERAGED US SIZE FACTOR TR ETN,RU20INTR,,UNCLEAR,LOW
JDST US,DIREXION DAILY JUNIOR GOLD MINERS INDEX BEAR 2X ETF,,,UNCLEAR,LOW
JETD US,MAX AIRLINES -3X INVERSE LEVERAGED ETN,PJETSNTR,,UNCLEAR,LOW
JETU US,MAX AIRLINES 3X LEVERAGED ETN,PJETSNTR,,UNCLEAR,LOW
JNUG US,DIREXION DAILY JUNIOR GOLD MINERS INDEX BULL 2X ETF,,,UNCLEAR,LOW
JOBX US,TRADR 2X LONG JOBY DAILY ETF,JOBY US,JOBY US,OK,HIGH
KBAB US,KRANESHARES 2X LONG BABA DAILY ETF,BABA US,,UNCLEAR,LOW
KBDU US,KRANESHARES 2X LONG BIDU DAILY ETF,BIDU US,,UNCLEAR,LOW
KJD US,KRANESHARES 2X LONG JD DAILY ETF,JD US,,UNCLEAR,LOW
KLAG US,LEVERAGE SHARES 2X LONG KLAC DAILY ETF,KLAC US,KLAC US,OK,HIGH
KMLI US,KRANESHARES 2X LONG MELI DAILY ETF,MELI US,,UNCLEAR,LOW
KOLD US,PROSHARES ULTRASHORT BLOOMBERG NATURAL GAS,,,UNCLEAR,LOW
KORU US,DIREXION DAILY MSCI SOUTH KOREA BULL 3X ETF,EWY US Equity,,UNCLEAR,LOW
KPDD US,KRANESHARES 2X LONG PDD DAILY ETF,PDD US,,UNCLEAR,LOW
KTUP US,T-REX 2X LONG KTOS DAILY TARGET ETF,KTOS US,KTOS US,OK,HIGH
LABD US,DIREXION DAILY S&P BIOTECH BEAR 3X ETF,,,UNCLEAR,LOW
LABU US,DIREXION DAILY S&P BIOTECH BULL 3X ETF,,,UNCLEAR,LOW
LABX US,TRADR 2X LONG ALAB DAILY ETF,ALAB US,ALAB US,OK,HIGH
LACG US,LEVERAGE SHARES 2X LONG LAC DAILY ETF,LAC US,LAC US,OK,HIGH
LCDL US,GRANITESHARES 2X LONG LCID DAILY ETF,LCID US,LCID US,OK,HIGH
LEUX US,TRADR 2X LONG LEU DAILY ETF,KEY,LEU US,MISMATCH,HIGH
LINT US,DIREXION DAILY INTC BULL 2X ETF,INTC US,INTC US,OK,HIGH
LITX US,TRADR 2X LONG LITE DAILY ETF,LITE,LITE US,OK,HIGH
LLYX US,DEFIANCE DAILY TARGET 2X LONG LLY ETF,LLY US,,UNCLEAR,LOW
LMNX US,DEFIANCE DAILY TARGET 2X LONG LMND ETF,LMND US,,UNCLEAR,LOW
LMTL US,DIREXION DAILY LMT BULL 2X ETF,LMT US,LMT US,OK,HIGH
LNOK US,DEFIANCE DAILY TARGET 2X LONG NOK ETF,NOK,,UNCLEAR,LOW
LRCU US,TRADR 2X LONG LRCX DAILY ETF,LRCX,LRCX US,OK,HIGH
LTL US,PROSHARES ULTRA COMMUNICATION SERVICES,,,UNCLEAR,LOW
LULG US,LEVERAGE SHARES 2X LONG LULU DAILY ETF,LULU US,LULU US,OK,HIGH
LUNL US,DEFIANCE DAILY TARGET 2X LONG LUNR ETF,LUNR US,,UNCLEAR,LOW
MAGX US,ROUNDHILL DAILY 2X LONG MAGNIFICENT SEVEN ETF,,,UNCLEAR,LOW
METD US,DIREXION DAILY META BEAR 1X ETF,META US,META US,OK,MEDIUM
METU US,DIREXION DAILY META BULL 2X ETF,META US,META US,OK,MEDIUM
MEXX US,DIREXION DAILY MSCI MEXICO BULL 3X ETF,,,UNCLEAR,LOW
MIDU US,DIREXION DAILY MID CAP BULL 3X ETF,,,UNCLEAR,LOW
MLPR US,ETRACS QUARTERLY PAY 1.5X LEVERAGED ALERIAN MLP INDEX ETN,AMZ,,UNCLEAR,LOW
MPG US,LEVERAGE SHARES 2X LONG MP DAILY ETF,MP US,MP US,OK,HIGH
MPL US,DEFIANCE DAILY TARGET 2X LONG MP ETF,MP US,,UNCLEAR,LOW
