ticker,fund_name,current_map,expected,status,confidence
FBUF US,FIDELITY DYNAMIC BUFFERED EQUITY ETF,Buffer,Buffer,OK,HIGH
FDEC US,FT VEST US EQUITY BUFFER ETF - DECEMBER,Buffer,Buffer,OK,HIGH
FEBM US,FT VEST US EQUITY MAX BUFFER ETF - FEBRUARY,Buffer,Buffer,OK,HIGH
FEBP US,PGIM S&P 500 BUFFER 12 ETF - FEBRUARY,Buffer,Buffer,OK,HIGH
FEBT US,ALLIANZIM US EQUITY BUFFER10 FEB ETF,Buffer,Buffer,OK,HIGH
FEBU US,ALLIANZIM US EQUITY BUFFER15 UNCAPPED FEB ETF,Buffer,Buffer,OK,HIGH
FEBW US,ALLIANZIM US EQ BUFFER20 FEB,Buffer,Buffer,OK,HIGH
FEBZ US,ELEVATION SERIES TRUST - TRUESHARES STRUCTURED OUTCOME FEBRUARY ETF,Outcome,Outcome,OK,HIGH
FFEB US,FT VEST US EQUITY BUFFER ETF - FEBRUARY,Buffer,Buffer,OK,HIGH
FHDG US,FT VEST US EQUITY QUARTERLY DYNAMIC BUFFER ETF,Buffer,Buffer,OK,HIGH
FHEQ US,FIDELITY HEDGED EQUITY ETF,Hedged Equity,Hedged Equity,OK,MEDIUM
FJAN US,FT VEST U.S. EQUITY BUFFER ETF - JANUARY,Buffer,Buffer,OK,HIGH
FJUL US,FT VEST US EQUITY BUFFER ETF - JULY,Buffer,Buffer,OK,HIGH
FJUN US,FT VEST US EQUITY BUFFER ETF - JUNE,Buffer,Buffer,OK,HIGH
FLAO US,ALLIANZIM US EQUITY 6 MONTH FLOOR5 APR/OCT ETF,Floor,Floor,OK,HIGH
FLJJ US,ALLIANZIM US EQUITY 6 MONTH FLOOR5 JAN/JUL ETF,Floor,Floor,OK,HIGH
FMAR US,FT VEST US EQUITY BUFFER ETF - MARCH,Buffer,Buffer,OK,HIGH
FMAY US,FT VEST US EQUITY BUFFER ETF - MAY,Buffer,Buffer,OK,HIGH
FNOV US,FT VEST US EQUITY BUFFER ETF - NOVEMBER,Buffer,Buffer,OK,HIGH
FOCT US,FT VEST US EQUITY BUFFER ETF - OCTOBER,Buffer,Buffer,OK,HIGH
FSEP US,FT VEST US EQUITY BUFFER ETF - SEPTEMBER,Buffer,Buffer,OK,HIGH
GAPR US,FT VEST US EQUITY MODERATE BUFFER ETF - APRIL,Buffer,Buffer,OK,HIGH
GAUG US,FT VEST US EQUITY MODERATE BUFFER ETF - AUGUST,Buffer,Buffer,OK,HIGH
GDEC US,FT VEST US EQUITY MODERATE BUFFER ETF - DECEMBER,Buffer,Buffer,OK,HIGH
GFEB US,FT VEST US EQUITY MODERATE BUFFER ETF - FEBRUARY,Buffer,Buffer,OK,HIGH
GJAN US,FT VEST US EQUITY MODERATE BUFFER ETF - JANUARY,Buffer,Buffer,OK,HIGH
GJUL US,FT VEST US EQUITY MODERATE BUFFER ETF - JULY,Buffer,Buffer,OK,HIGH
GJUN US,FT VEST US EQUITY MODERATE BUFFER ETF - JUNE,Buffer,Buffer,OK,HIGH
GMAR US,FT VEST US EQUITY MODERATE BUFFER ETF - MARCH,Buffer,Buffer,OK,HIGH
GMAY US,FT VEST US EQUITY MODERATE BUFFER ETF - MAY,Buffer,Buffer,OK,HIGH
GNOV US,FT VEST US EQUITY MODERATE BUFFER ETF - NOVEMBER,Buffer,Buffer,OK,HIGH
GOCT US,FT VEST US EQUITY MODERATE BUFFER ETF - OCTOBER,Buffer,Buffer,OK,HIGH
GSEP US,FT VEST US EQUITY MODERATE BUFFER ETF - SEPTEMBER,Buffer,Buffer,OK,HIGH
HELO US,JPMORGAN HEDGED EQUITY LADDERED OVERLAY ETF,Ladder,Hedged Equity,MISMATCH,MEDIUM
HEQQ US,JPMORGAN NASDAQ HEDGED EQUITY LADDERED OVERLAY ETF,Ladder,Hedged Equity,MISMATCH,MEDIUM
HOLA US,JPMORGAN INTERNATIONAL HEDGED EQUITY LADDERED OVERLAY ETF,Ladder,Hedged Equity,MISMATCH,MEDIUM
IAPR US,INNOVATOR INTERNATIONAL DEVELOPED POWER BUFFER ETF - APRIL,Buffer,Buffer,OK,HIGH
