ticker,etp_category,is_primary,source
BITW US,Crypto,1,manual
BRRR US,Crypto,1,manual
BSOL US,Crypto,1,manual
BTC US,Crypto,1,manual
BTCFX US,Crypto,1,manual
BTCO US,Crypto,1,manual
BTCW US,Crypto,1,manual
BTF US,Crypto,1,manual
BTOP US,Crypto,1,manual
BTRN US,Crypto,1,manual
BWOW US,Crypto,1,manual
CRPT US,Crypto,1,manual
DECO US,Crypto,1,manual
DEFG US,Crypto,1,manual
DEFI US,Crypto,1,manual
DIME US,Crypto,1,manual
DOJE US,Crypto,1,manual
EETH US,Crypto,1,manual
ESK US,Crypto,1,manual
ETCG US,Crypto,1,manual
ETH US,Crypto,1,manual
ETHA US,Crypto,1,manual
ETHE US,Crypto,1,manual
ETHV US,Crypto,1,manual
ETHW US,Crypto,1,manual
EZBC US,Crypto,1,manual
EZET US,Crypto,1,manual
EZPZ US,Crypto,1,manual
FBTC US,Crypto,1,manual
FDIG US,Crypto,1,manual
FETH US,Crypto,1,manual
FILG US,Crypto,1,manual
FMKT US,Crypto,1,manual
FSOL US,Crypto,1,manual
GBAT US,Crypto,1,manual
GBTC US,Crypto,1,manual
GDLC US,Crypto,1,manual
GDOG US,Crypto,1,manual
GLIV US,Crypto,1,manual
GLNK US,Crypto,1,manual
GSNR US,Crypto,1,manual
GSOL US,Crypto,1,manual
GXRP US,Crypto,1,manual
HBR US,Crypto,1,manual
HBTC US,Crypto,1,manual
HECO US,Crypto,1,manual
HODL US,Crypto,1,manual
IBIT US,Crypto,1,manual
LTCC US,Crypto,1,manual
LTCN US,Crypto,1,manual
MANA US,Crypto,1,manual
MAXI US,Crypto,1,manual
MNRS US,Crypto,1,manual
NCIQ US,Crypto,1,manual
NODE US,Crypto,1,manual
OBTC US,Crypto,1,manual
OOQB US,Crypto,1,manual
OOSB US,Crypto,1,manual
QETH US,Crypto,1,manual
QSOL US,Crypto,1,manual
SATO US,Crypto,1,manual
SOEZ US,Crypto,1,manual
SOLC US,Crypto,1,manual
SOLZ US,Crypto,1,manual
SPBC US,Crypto,1,manual
SSK US,Crypto,1,manual
STBQ US,Crypto,1,manual
STCE US,Crypto,1,manual
TETH US,Crypto,1,manual
TKNQ US,Crypto,1,manual
TOXR US,Crypto,1,manual
TSOL US,Crypto,1,manual
TTOP US,Crypto,1,manual
TXBC US,Crypto,1,manual
VSOL US,Crypto,1,manual
WGMI US,Crypto,1,manual
WTIP US,Crypto,1,manual
XRP US,Crypto,1,manual
XRPC US,Crypto,1,manual
XRPI US,Crypto,1,manual
XRPR US,Crypto,1,manual
XRPZ US,Crypto,1,manual
CLNK US,Crypto,1,manual
AAPR US,Defined,1,manual
AIOO US,Defined,1,manual
AJAN US,Defined,1,manual
AJUL US,Defined,1,manual
AOCT US,Defined,1,manual
APOC US,Defined,1,manual
APRB US,Defined,1,manual
APRH US,Defined,1,manual
APRJ US,Defined,1,manual
APRP US,Defined,1,manual
APRT US,Defined,1,manual
APRW US,Defined,1,manual
APRZ US,Defined,1,manual
APXM US,Defined,1,manual
ARKD US,Defined,1,manual
ARKT US,Defined,1,manual
ARLU US,Defined,1,manual
AUGM US,Defined,1,manual
AUGP US,Defined,1,manual
AUGT US,Defined,1,manual
AUGU US,Defined,1,manual
AUGW US,Defined,1,manual
AUGZ US,Defined,1,manual
BALT US,Defined,1,manual
BAPR US,Defined,1,manual
BAUG US,Defined,1,manual
BDEC US,Defined,1,manual
BFAP US,Defined,1,manual
BFEB US,Defined,1,manual
BFJL US,Defined,1,manual
BFLB US,Defined,1,manual
BFOC US,Defined,1,manual
BFRZ US,Defined,1,manual
BGLD US,Defined,1,manual
BJAN US,Defined,1,manual
