ticker,map_cc_underlier,map_cc_index,cc_type,cc_category
NVDY US,NVDA US,,Synthetic,Single Stock
NVII US,NVDA US,,Synthetic,Single Stock
NVDW US,NVDA US,,Synthetic,Single Stock
NVYY US,NVDA US,,Synthetic,Single Stock
DIPS US,NVDA US,,Synthetic,Single Stock
NFLY US,NFLX US,,Synthetic,Single Stock
NFLP US,NFLX US,,Synthetic,Single Stock
NFLW US,NFLX US,,Synthetic,Single Stock
MSTY US,MSTR US,,Synthetic,Single Stock
IMST US,MSTR US,,Synthetic,Single Stock
MSII US,MSTR US,,Synthetic,Single Stock
MSTW US,MSTR US,,Synthetic,Single Stock
WNTR US,MSTR US,,Synthetic,Single Stock
MTYY US,MSTR US,,Synthetic,Single Stock
MST US,MSTR US,,Synthetic,Single Stock
MSTK US,MSTR US,,Synthetic,Single Stock
MSFO US,MSFT US,,Synthetic,Single Stock
MSFY US,MSFT US,,Synthetic,Single Stock
MSFW US,MSFT US,,Synthetic,Single Stock
MRNY US,MRNA US,,Synthetic,Single Stock
FBY US,META US,,Synthetic,Single Stock
METW US,META US,,Synthetic,Single Stock
FBYY US,META US,,Synthetic,Single Stock
MARO US,MARA US,,Synthetic,Single Stock
IMRA US,MARA US,,Synthetic,Single Stock
MAAY US,MARA US,,Synthetic,Single Stock
LLII US,LLY US,,Synthetic,Single Stock
JPMO US,JPM US,,Synthetic,Single Stock
IOYY US,IONQ US,,Synthetic,Single Stock
YBIT US,IBIT US,,Synthetic,Crypto
BITK US,IBIT US,,Synthetic,Crypto
HOOY US,HOOD US,,Synthetic,Single Stock
HOOW US,HOOD US,,Synthetic,Single Stock
HOOI US,HOOD US,,Synthetic,Single Stock
HOYY US,HOOD US,,Synthetic,Single Stock
HOII US,HOOD US,,Synthetic,Single Stock
HIMY US,HIMS US,,Synthetic,Single Stock
HIYY US,HIMS US,,Synthetic,Single Stock
HMYY US,HIMS US,,Synthetic,Single Stock
GOOY US,GOOGL US,,Synthetic,Single Stock
GOOP US,GOOGL US,,Synthetic,Single Stock
GOOW US,GOOGL US,,Synthetic,Single Stock
IGME US,GME US,,Synthetic,Single Stock
GMEY US,GME US,,Synthetic,Single Stock
YETH US,ETH,,Synthetic,Crypto
DRAY US,DKNG US,,Synthetic,Single Stock
DISO US,DIS US,,Synthetic,Single Stock
CVNY US,CVNA,,Synthetic,Single Stock
CWII US,CRWV US,,Synthetic,Single Stock
ICRC US,CRCL US,,Synthetic,Single Stock
CRCO US,CRCL US,,Synthetic,Single Stock
COSW US,COST US,,Synthetic,Single Stock
CONY US,COIN US,,Synthetic,Single Stock
ICOI US,COIN US,,Synthetic,Single Stock
COII US,COIN US,,Synthetic,Single Stock
COIW US,COIN US,,Synthetic,Single Stock
COYY US,COIN US,,Synthetic,Single Stock
FIAT US,COIN US,,Synthetic,Single Stock
BRKC US,BRK/B US,,Synthetic,Single Stock
BRKW US,BRK/B US,,Synthetic,Single Stock
YBMN US,BMNR US,,Synthetic,Single Stock
BCCC US,BTC,,Synthetic,Crypto
BABO US,BABA US,,Synthetic,Single Stock
BABW US,BABA US,,Synthetic,Single Stock
BBYY US,BABA US,,Synthetic,Single Stock
AVGW US,AVGO US,,Synthetic,Single Stock
ARMW US,ARM US,,Synthetic,Single Stock
OARK US,ARK US,,Synthetic,Single Stock
AMZY US,AMZN US,,Synthetic,Single Stock
AMZP US,AMZN US,,Synthetic,Single Stock
AMZW US,AMZN US,,Synthetic,Single Stock
AZYY US,AMZN US,,Synthetic,Single Stock
AMDY US,AMD US,,Synthetic,Single Stock
AMDW US,AMD US,,Synthetic,Single Stock
AMDU US,AMD US,,Synthetic,Single Stock
AMYY US,AMD US,,Synthetic,Single Stock
AIYY US,AI US,,Synthetic,Single Stock
ABNY US,ABNB US,,Synthetic,Single Stock
APLY US,AAPL US,,Synthetic,Single Stock
AAPY US,AAPL US,,Synthetic,Single Stock
AAPW US,AAPL US,,Synthetic,Single Stock
